月份,1号线,2号线,3号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,20号线
2018年7月,3831.9,1791.5,2652.7,2805.2,,1591,,991.9,,1280.4,
2018年8月,3808.1,1786.6,2601.6,2771.9,,1585.2,,992.1,,1279.2,
2018年9月,3480.7,1683.9,2487.2,2643.7,,1504,,929.5,,1203.8,
2018年10月,3607.7,1746.6,2631.1,2716.1,,1523.3,,955,,1294.6,
2018年11月,3604.3,1768.1,2564.8,2736.4,,1550.1,,953.5,,1272.5,
2018年12月,3770.3,1826.9,2679.5,2864.4,,1618,,1000.6,,1331.2,
2019年1月,3559.9,1718.3,2529.1,2674.9,,1519.4,,951,,1248.6,
2019年2月,2481.3,1196.5,1756.5,1851.1,,1020.1,,699.1,,917.2,
2019年3月,3762.1,1827.7,2738.2,2964.9,,1667.4,,1071.2,,1386.9,
2019年4月,3624.2,1750.4,2609.2,2837.9,,1589.5,,1007.2,,1323.2,
2019年5月,3684.1,1782.5,2685.1,2907,,1641.3,,1033.8,,1366.9,
2019年6月,3549.1,1704.2,2596.2,2808.3,,1607.6,,998.8,,1318.1,
2019年7月,3979.4,1929.7,2869.2,3140,,1788.4,,1128.6,,1477.3,
2019年8月,3810.6,1856.5,2751.4,3051.9,,1717.1,,1087,,1439.7,
2019年9月,3491.7,1766.1,2611.2,2914.8,,1714,,1061.1,,1355.2,
2019年10月,3498.9,1793.1,2650.8,3010.6,,1781.3,,1116.1,,1407,
2019年11月,3506.8,1834.2,2697.3,3100.6,,1856.9,,1124.6,,1405,
2019年12月,3629.9,1863.4,2754.1,3241.1,,1924,,1401.2,,1437.2,
2020年1月,2486.9,1224.5,1873.3,2174.7,,1257.6,,1012.6,,978.9,
2020年2月,336,172.6,263.7,356,,184.1,,152.3,,157.9,
2020年3月,1265.7,635,959.1,1304,,694.1,,570.2,,563.7,
2020年4月,2027.4,982.4,1542.9,2058.8,,1086.6,,933.5,,872.1,
2020年5月,2355.8,1185.1,1875.4,2425,,1292.5,,1144.7,,1043.4,
2020年6月,2600,1332.6,2043.1,2662.7,,1432,,1264.6,,1134.4,
2020年7月,2968,1512.2,2272.4,2979,,1604.7,,1438.2,,1282.2,
2020年8月,2919.7,1452.6,2264.8,2948.6,317.8,1559.1,,1431,348,1291.2,
2020年9月,2868.8,1457.1,2286.1,2963.8,706,1560.1,,1467.1,815,1264,
2020年10月,2806.3,1430.3,2317.9,2954.3,822.7,1494.5,,1425.8,846.3,1296.9,
2020年11月,2986,1738,2482,3133,878,1620,223.7,1538,925.1,1351,
2020年12月,3423,1788,2580,3271,909,1693,197,1626,998,1378,
2021年1月,2869.2,1673.9,2403.9,3029.1,857.6,1571.7,188.7,1542,952.5,1247.9,
2021年2月,1985.1,1211.6,1654.8,2126.4,637.1,1061,180.6,1092.5,654,898.8,
2021年3月,3417.4,1818.8,2586.7,3397.8,1013.1,1684.2,207.9,1647,1069.7,1423.7,
2021年4月,3031.6,1724,2520.5,3304.8,1033,1608.9,213,1598.7,1052.2,1407.7,
2021年5月,2966.4,1683,2472,3252.7,1052.9,1581.3,217,1561.7,1042.3,1377.7,
2021年6月,2532.7,1416.3,2074.4,2809.6,847.1,1453.2,112.3,1399.7,965.3,1102.7,
2021年7月,3015.5,1659.8,2474.8,3245.1,1047.6,1609.3,186.1,1594.1,1095.5,1327.7,
2021年8月,3010.9,1672.5,2441.2,3226.6,1041.7,1596.3,195.8,1578.5,1098.6,1332.2,
2021年9月,2942.1,1664.4,2384.2,3223.4,1047.3,1558.6,194.9,1552.5,1093.4,1341.2,
2021年10月,2854.9,1621,2369.7,3421.6,1073,1495.7,225.5,1474.5,1055.5,1330.1,
2021年11月,3019.5,1737.5,2490,3308.9,1098.5,1627.5,204.9,1602.9,1140.2,1353.6,
2021年12月,3153,1789,2547.3,3409.3,1116.8,1672.1,208.2,1673,1175,1402,1.7
2022年1月,2297.8,1243.6,1656.6,2321.2,806.8,1130.2,145.2,1183,798.4,1068,7.6
2022年2月,1752.8,944.4,1371.5,1864.6,584.5,814.5,109,864.5,643.3,829.4,6.1
2022年3月,1382,669.9,1077.6,1681,513.1,538.7,74.7,618,599.7,645.2,5.4
2022年4月,2408.5,1316.4,1945.4,2700.3,870.7,1208.9,150.1,1218.8,960.4,1120.5,9.7
2022年5月,2584.4,1469.2,2145.1,2873.4,969.4,1342,182.3,1336.6,1014.7,1226.9,11.5
2022年6月,2577.5,1454.3,2140.6,2956.1,999.4,1298.8,186,1323.9,1007.3,1281.3,25.7
2022年7月,2540.7,1382.6,2071.3,2907.6,1007.1,1224.6,173.5,1282.9,992.2,1270.4,18.1
2022年8月,2666.4,1473.5,2178.4,2997.7,1042.3,1291.7,183.8,1364,1068.6,1304.8,20.1
2022年11月,2447.2,1446.9,2015.5,2844.4,963.7,1357.3,176,1314.6,1110.8,1528.4,36.3
2022年12月,1360.5,1070,1583,2303,807,10684,135,1035,890,1251,15
2023年1月,1790.9,1018.2,1430.9,2025.9,726.7,920.2,147.5,929.9,747.2,1164.6,12.8
